epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,120.828,1.23654,1.11104,1.34318,0.806,0.70775,0.757,0.45524,1.42788,1.35976,1.57536,0.000174262,0.000174262,0.000174262
162,121.377,1.32357,1.24358,1.48843,0.806,0.70775,0.757,0.45524,1.42788,1.35976,1.57536,0.000166726,0.000166726,0.000166726
163,121.946,1.31114,1.14744,1.40244,0.7915,0.7261,0.75589,0.44978,1.44968,1.36863,1.58366,0.000159357,0.000159357,0.000159357
164,122.528,1.29836,1.14023,1.38384,0.83116,0.66378,0.75217,0.44712,1.46856,1.37333,1.59078,0.000152156,0.000152156,0.000152156
165,123.098,1.38423,1.18523,1.46552,0.83116,0.66378,0.75217,0.44712,1.46856,1.37333,1.59078,0.000145125,0.000145125,0.000145125
166,123.662,1.27021,1.13966,1.44085,0.84151,0.67137,0.75728,0.45108,1.45101,1.36857,1.5804,0.000138266,0.000138266,0.000138266
167,124.23,1.30963,1.18974,1.44131,0.85206,0.66469,0.75565,0.45695,1.42346,1.34405,1.56072,0.000131581,0.000131581,0.000131581
168,124.932,1.25934,1.23142,1.42265,0.85206,0.66469,0.75565,0.45695,1.42346,1.34405,1.56072,0.000125071,0.000125071,0.000125071
169,125.567,1.28713,1.15661,1.38981,0.83884,0.66963,0.76062,0.47028,1.40354,1.33997,1.54745,0.000118737,0.000118737,0.000118737
170,126.116,1.21054,1.1459,1.36486,0.83884,0.66963,0.76062,0.47028,1.40354,1.33997,1.54745,0.000112583,0.000112583,0.000112583
171,126.682,1.26967,1.13697,1.37557,0.82398,0.68109,0.76038,0.4742,1.40026,1.34113,1.53973,0.000106608,0.000106608,0.000106608
172,127.253,1.21091,1.05388,1.33163,0.82013,0.68807,0.75903,0.47641,1.39144,1.33901,1.53518,0.000100814,0.000100814,0.000100814
173,127.808,1.25353,1.10612,1.36374,0.82013,0.68807,0.75903,0.47641,1.39144,1.33901,1.53518,9.52034e-05,9.52034e-05,9.52034e-05
174,128.394,1.24632,1.14795,1.40243,0.83277,0.7033,0.76499,0.4787,1.37515,1.33091,1.52994,8.97769e-05,8.97769e-05,8.97769e-05
175,128.967,1.30916,1.19142,1.43817,0.85773,0.69211,0.76343,0.48666,1.37268,1.33412,1.53301,8.4536e-05,8.4536e-05,8.4536e-05
